region,capacity_scenario,lifetime_scenario,price_scenario,year,annual_material_tonnes,gross_benchmark_value_real_2026_usd,quality_adjusted_gross_value_real_2026_usd,present_value_3pct_real_2026_usd,present_value_5pct_real_2026_usd,present_value_7pct_real_2026_usd
India,High,Early_Loss,Upside,2045,1840385.7168485622,6955386642.510843,6008911524.141537,3426798278.567063,2377930334.8114824,1661514108.7499976
India,High,Early_Loss,Upside,2060,4077137.176114768,15408761975.719303,13311968430.73405,4872778149.605213,2533997083.182886,1334116752.7649384
India,High,Early_Loss,Upside,2075,2524044.8023108062,9539145703.191788,8241077813.854258,1936243640.271573,754585334.6193633,299349755.8542876
India,High,Fixed_25,Downside,2045,385419.5209091829,953091539.3212848,813305725.9163005,463816891.0161951,321852693.181157,224885810.50128675
India,High,Fixed_25,Downside,2060,9180025.611513702,22700990132.64056,19371534104.681866,7090851259.209375,3687464492.8327007,1941402453.760803
India,High,Fixed_25,Downside,2075,853280.6603671261,2110050306.0767784,1800578354.8616602,423046410.57393575,164868000.41222095,65404392.85966011
India,High,Fixed_25,Reference,2045,385419.5209091829,1175469215.7658935,1010196037.306426,576100684.4166324,399768875.20581174,279327622.2897554
India,High,Fixed_25,Reference,2060,9180025.611513702,27997641325.540157,24061120394.853596,8807450402.629738,4580149751.400004,2411389718.6652384
India,High,Fixed_25,Reference,2075,853280.6603671261,2602372464.9543357,2236474010.9159946,525460222.3253965,204780312.4801802,81237911.38298334
India,High,Fixed_25,Upside,2045,385419.5209091829,1456619535.2162943,1258405658.9974446,717651163.3872943,497993850.9672044,347959651.02079
India,High,Fixed_25,Upside,2060,9180025.611513702,34694155106.55359,29973043793.991905,10971479810.55348,5705512745.412984,3003878807.6300135
India,High,Fixed_25,Upside,2075,853280.6603671261,3224811436.5901146,2785985539.0461216,654568116.4177419,255095738.41077715,101198424.49794653
India,High,Regular_Loss,Downside,2045,656115.8115303882,1622487691.6181972,1384524440.0779157,789574941.9560391,547903335.2582959,382832544.93871003
India,High,Regular_Loss,Downside,2060,5506144.227294682,13615966998.604248,11618972015.7816,4253065446.6292987,2211727089.856886,1164445761.4828103
