region,capacity_scenario,lifetime_scenario,price_scenario,material,full_period_material_tonnes,full_period_gross_benchmark_value_real_2026_usd,full_period_quality_adjusted_value_real_2026_usd,full_period_present_value_3pct_real_2026_usd,full_period_present_value_5pct_real_2026_usd,full_period_present_value_7pct_real_2026_usd
Gujarat,High,Fixed_25,Upside,Silicon,361502.87710785726,1238200586.3319714,928650439.7489785,397964437.7785929,231512182.02778888,137097233.09233534
Gujarat,High,Fixed_25,Upside,Silver,5680.759497409185,13536179847.654263,12859370855.27155,5510762794.650574,3205835994.664692,1898436793.980839
Gujarat,High,Regular_Loss,Downside,Aluminium,1333047.9259384107,3451597425.4701223,2761277940.376098,1098478458.5664055,618967922.7064267,360005362.9207322
Gujarat,High,Regular_Loss,Downside,Copper,307626.4444473255,3422013465.075192,3148252387.8691764,1252422792.9527094,705712095.1792034,410457682.252201
Gujarat,High,Regular_Loss,Downside,Glass,7177950.370437596,4057058618.751891,2839941033.1263237,1129703035.2855694,636517493.8384825,370173213.36142915
Gujarat,High,Regular_Loss,Downside,Polymers,922879.3333419765,974226321.6655383,584535792.9993229,232537249.3228012,131029513.6356555,76209648.15668535
Gujarat,High,Regular_Loss,Downside,Silicon,358897.5185218798,857681335.7230175,643261001.792263,255899032.60821465,144193353.45256162,83866027.03653786
Gujarat,High,Regular_Loss,Downside,Silver,5639.818148200968,7831264653.26234,7439701420.599222,2959817536.28943,1667915069.0238008,970205608.2655222
Gujarat,High,Regular_Loss,Reference,Aluminium,1333047.9259384107,4139447072.0202494,3311557657.6162,1317232062.1676912,742129166.36466,431549468.4958835
Gujarat,High,Regular_Loss,Reference,Copper,307626.4444473255,4103967488.760658,3775650089.659805,1501833236.1473312,846133555.0294777,492028210.85471326
Gujarat,High,Regular_Loss,Reference,Glass,7177950.370437596,4440926114.686037,3108648280.2802253,1236521180.7108283,696656617.6069506,405107098.16880196
Gujarat,High,Regular_Loss,Reference,Polymers,922879.3333419765,1168374464.8042758,701024678.8825654,278845268.25954056,157101555.92298234,91354842.29860584
Gujarat,High,Regular_Loss,Reference,Silicon,358897.5185218798,1028603877.0588927,771452907.7941695,306859372.43516606,172884715.45532525,100532778.45321521
Gujarat,High,Regular_Loss,Reference,Silver,5639.818148200968,10299586541.787346,9784607214.697977,3892004812.078449,2192757350.5323005,1275092412.548681
Gujarat,High,Regular_Loss,Upside,Aluminium,1333047.9259384107,4946580229.002291,3957264183.201833,1573906565.7270434,886631391.2010399,515482803.68059915
Gujarat,High,Regular_Loss,Upside,Copper,307626.4444473255,4904182632.890624,4511848022.259375,1794478937.226522,1010886790.3852705,587724235.8919879
Gujarat,High,Regular_Loss,Upside,Glass,7177950.370437596,4856752821.057715,3399726974.7404003,1352229341.2658741,761798832.8807644,442945464.731827
Gujarat,High,Regular_Loss,Upside,Polymers,922879.3333419765,1396190826.2427213,837714495.7456326,333180774.3985345,187691277.2073943,109122716.3412288
Gujarat,High,Regular_Loss,Upside,Silicon,358897.5185218798,1229166966.797669,921875225.0982518,366653678.49898535,206547623.6871565,120085696.50076684
Gujarat,High,Regular_Loss,Upside,Silver,5639.818148200968,13436866737.716017,12765023400.830215,5076732329.472721,2859723169.2638803,1662487100.6352382
Gujarat,Medium,Early_Loss,Downside,Aluminium,839428.124130924,2179236999.3933864,1743389599.5147092,805932354.5086095,514980059.7394232,345480847.1441494
Gujarat,Medium,Early_Loss,Downside,Copper,193714.18249175168,2160558557.7519946,1987713873.131835,918878328.9222848,587151035.7841136,393897653.7206139
