material,price_scenario,year,base_price_usd_t,annual_real_growth_rate,price_real_2026_usd_t,quality_discount,quality_factor,quality_adjusted_price_real_2026_usd_t
Copper,Reference,2061,14286.0,0.015,26274.988389621936,0.08,0.92,24172.989318452182
Copper,Reference,2062,14286.0,0.015,26669.113215466263,0.08,0.92,24535.58415822896
Copper,Reference,2063,14286.0,0.015,27069.149913698253,0.08,0.92,24903.617920602395
Copper,Reference,2064,14286.0,0.015,27475.187162403723,0.08,0.92,25277.172189411427
Copper,Reference,2065,14286.0,0.015,27887.314969839776,0.08,0.92,25656.329772252593
Copper,Reference,2066,14286.0,0.015,28305.62469438737,0.08,0.92,26041.17471883638
Copper,Reference,2067,14286.0,0.015,28730.209064803177,0.08,0.92,26431.792339618925
Copper,Reference,2068,14286.0,0.015,29161.162200775223,0.08,0.92,26828.269224713207
Copper,Reference,2069,14286.0,0.015,29598.57963378685,0.08,0.92,27230.693263083904
Copper,Reference,2070,14286.0,0.015,30042.55832829365,0.08,0.92,27639.15366203016
Copper,Reference,2071,14286.0,0.015,30493.19670321805,0.08,0.92,28053.74096696061
Copper,Reference,2072,14286.0,0.015,30950.59465376632,0.08,0.92,28474.547081465014
Copper,Reference,2073,14286.0,0.015,31414.85357357281,0.08,0.92,28901.66528768699
Copper,Reference,2074,14286.0,0.015,31886.0763771764,0.08,0.92,29335.19026700229
Copper,Reference,2075,14286.0,0.015,32364.367522834043,0.08,0.92,29775.21812100732
Copper,Upside,2026,14286.0,0.0,14286.0,0.08,0.92,13143.12
Copper,Upside,2027,14286.0,0.05,15000.300000000001,0.08,0.92,13800.276000000002
Copper,Upside,2028,14286.0,0.05,15750.315000000002,0.08,0.92,14490.289800000002
Copper,Upside,2029,14286.0,0.05,16537.830750000005,0.08,0.92,15214.804290000005
Copper,Upside,2030,14286.0,0.05,17364.722287500004,0.08,0.92,15975.544504500005
Copper,Upside,2031,14286.0,0.05,18232.958401875007,0.08,0.92,16774.32172972501
Copper,Upside,2032,14286.0,0.05,19144.606321968757,0.08,0.92,17613.037816211257
Copper,Upside,2033,14286.0,0.05,20101.836638067194,0.08,0.92,18493.68970702182
Copper,Upside,2034,14286.0,0.05,21106.928469970553,0.08,0.92,19418.37419237291
Copper,Upside,2035,14286.0,0.05,22162.274893469083,0.08,0.92,20389.292901991557
Copper,Upside,2036,14286.0,0.025,22716.331765805808,0.08,0.92,20899.025224541343
Copper,Upside,2037,14286.0,0.025,23284.24005995095,0.08,0.92,21421.500855154874
Copper,Upside,2038,14286.0,0.025,23866.34606144972,0.08,0.92,21957.038376533743
Copper,Upside,2039,14286.0,0.025,24463.00471298596,0.08,0.92,22505.964335947083
Copper,Upside,2040,14286.0,0.025,25074.579830810606,0.08,0.92,23068.61344434576
Copper,Upside,2041,14286.0,0.025,25701.44432658087,0.08,0.92,23645.3287804544
Copper,Upside,2042,14286.0,0.025,26343.98043474539,0.08,0.92,24236.46199996576
Copper,Upside,2043,14286.0,0.025,27002.579945614023,0.08,0.92,24842.3735499649
Copper,Upside,2044,14286.0,0.025,27677.644444254373,0.08,0.92,25463.432888714025
Copper,Upside,2045,14286.0,0.025,28369.58555536073,0.08,0.92,26100.018710931872
Copper,Upside,2046,14286.0,0.025,29078.825194244746,0.08,0.92,26752.519178705166
Copper,Upside,2047,14286.0,0.025,29805.795824100864,0.08,0.92,27421.332158172794
Copper,Upside,2048,14286.0,0.025,30550.940719703383,0.08,0.92,28106.865462127113
Copper,Upside,2049,14286.0,0.025,31314.714237695964,0.08,0.92,28809.53709868029
Copper,Upside,2050,14286.0,0.025,32097.58209363836,0.08,0.92,29529.775526147292
Copper,Upside,2051,14286.0,0.025,32900.021645979316,0.08,0.92,30268.01991430097
