region,capacity_scenario,lifetime_scenario,price_scenario,full_period_material_tonnes,full_period_gross_benchmark_value_real_2026_usd,full_period_quality_adjusted_value_real_2026_usd,full_period_present_value_3pct_real_2026_usd,full_period_present_value_5pct_real_2026_usd,full_period_present_value_7pct_real_2026_usd
Maharashtra,High,Regular_Loss,Downside,18730581.93753804,46318301316.77239,40292194661.63174,15234641003.047348,8278562790.289751,4634699318.172127
Maharashtra,High,Regular_Loss,Reference,18730581.93753804,77268632186.67383,68363654601.916435,25396157990.8608,13634960684.553804,7540429712.232121
Maharashtra,High,Regular_Loss,Upside,18730581.93753804,131416055890.5566,117239518463.01904,42807250340.406906,22713019353.901894,12410753379.776098
Maharashtra,Medium,Early_Loss,Downside,11604689.547034245,28698415058.168873,24964388099.71856,10926677482.834457,6711176920.654691,4320219563.643045
Maharashtra,Medium,Early_Loss,Reference,11604689.547034245,45731010475.499886,40403502924.68005,16987814050.166521,10160761155.32237,6375000795.798083
Maharashtra,Medium,Early_Loss,Upside,11604689.547034245,74894688917.14685,66715710775.928154,26969085740.387844,15710017744.135784,9604699586.843254
Maharashtra,Medium,Fixed_25,Downside,12584375.649996484,31119497869.124866,27070793310.75585,11342351867.3293,6480312916.142978,3760235354.687495
Maharashtra,Medium,Fixed_25,Reference,12584375.649996484,49303902539.615166,43546398313.136894,18157295748.90995,10340368886.659605,5980368356.268755
Maharashtra,Medium,Fixed_25,Upside,12584375.649996484,79126619637.50467,70415062592.16,29219593528.294098,16587072638.258953,9562285969.552147
Maharashtra,Medium,Regular_Loss,Downside,12524049.636682482,30970367007.59924,26941055187.995007,10465435603.85465,5788439395.257744,3297537587.598262
Maharashtra,Medium,Regular_Loss,Reference,12524049.636682482,51091529815.479996,45187088340.09998,17244115216.356304,9422958827.508656,5302440828.194655
Maharashtra,Medium,Regular_Loss,Upside,12524049.636682482,85909989375.03264,76606218608.05154,28729954068.28475,15514171716.482504,8625441223.97843
Rajasthan,Conservative,Early_Loss,Downside,13209896.091757186,32668860016.175217,28418074845.0244,12570587827.234352,7799558748.35023,5083991896.960054
Rajasthan,Conservative,Early_Loss,Reference,13209896.091757186,51904448844.66575,45853730963.378914,19432913781.872982,11718648962.265789,7429992164.717204
Rajasthan,Conservative,Early_Loss,Upside,13209896.091757186,84832024291.04024,75561895185.24884,30716753976.94946,18007471417.64006,11104273713.003336
Rajasthan,Conservative,Fixed_25,Downside,14443064.393583814,35715789493.29046,31069098845.02327,13119650217.792662,7577129842.222035,4462575075.839776
Rajasthan,Conservative,Fixed_25,Reference,14443064.393583814,56588510689.3958,49981258856.47715,20906454223.978325,11999872776.346306,7024253925.374682
Rajasthan,Conservative,Fixed_25,Upside,14443064.393583814,91003161515.88655,80992773578.41411,33556215451.911736,19141669742.922077,11136609891.28727
Rajasthan,Conservative,Regular_Loss,Downside,14252442.275022533,35244537215.22261,30659131202.386322,12049921300.728838,6747718556.690737,3905559818.7884407
Rajasthan,Conservative,Regular_Loss,Reference,14252442.275022533,58007439609.386696,51300521214.79345,19734812534.67871,10890660654.307941,6210663555.223296
Rajasthan,Conservative,Regular_Loss,Upside,14252442.275022533,97448902000.54332,86893365302.23363,32733668220.51068,17807158088.30734,10008275903.477661
Rajasthan,High,Early_Loss,Downside,30063444.658088397,74345750396.05215,64672665941.563095,26649962934.84952,15745344131.63884,9773013340.377722
Rajasthan,High,Early_Loss,Reference,30063444.658088397,121417276739.81728,107358253033.35002,42532250922.89693,24460867531.092968,14781285535.60624
Rajasthan,High,Early_Loss,Upside,30063444.658088397,203755172523.61652,181687939701.44778,69306679835.76834,38822202808.22415,22844679523.260403
Rajasthan,High,Fixed_25,Downside,34538907.20573391,85410152961.46521,74298133189.15506,28508427282.837074,15498139878.327074,8614950205.984081
Rajasthan,High,Fixed_25,Reference,34538907.20573391,140944855329.49786,124654860286.61523,47314840185.66685,25537980495.102406,14094218479.698004
Rajasthan,High,Fixed_25,Upside,34538907.20573391,236446375434.11377,210814234410.52655,79157128007.46152,42421028406.73183,23245904839.35314
Rajasthan,High,Regular_Loss,Downside,33130939.56464126,81928566467.97157,71269481335.97615,25732470446.999348,13633271418.105474,7475943194.267788
Rajasthan,High,Regular_Loss,Reference,33130939.56464126,139639832068.38757,123633110941.21988,43713645848.676186,22823505177.358307,12328050393.996925
Rajasthan,High,Regular_Loss,Upside,33130939.56464126,243065000937.056,217053200380.36285,75209204919.59843,38715396220.971924,20607814863.440895
Rajasthan,Medium,Early_Loss,Downside,20580943.517526004,50896658214.76978,44274368239.1375,18830672289.092186,11374052461.188534,7218903059.191275
Rajasthan,Medium,Early_Loss,Reference,20580943.517526004,82117711673.74435,72580959382.05334,29628275071.96396,17406091792.245403,10749673218.627085
Rajasthan,Medium,Early_Loss,Upside,20580943.517526004,136213661548.12859,121403348332.4693,47630503304.902054,27228242801.839626,16363854613.062098
Rajasthan,Medium,Fixed_25,Downside,23075881.703356877,57063605813.13324,49639524552.4319,19890791787.002674,11115502666.299473,6344457909.46121
Rajasthan,Medium,Fixed_25,Reference,23075881.703356877,92456999758.12666,81722150919.30643,32408230414.36645,17987547640.32232,10197505906.860004
Rajasthan,Medium,Fixed_25,Upside,23075881.703356877,152190073496.8693,135583663723.88335,53211098578.910324,29333543049.183987,16518082072.328728
Rajasthan,Medium,Regular_Loss,Downside,22484306.175465547,55600848983.57997,48367048896.64426,18131241402.454308,9847070642.936722,5532919007.758664
Rajasthan,Medium,Regular_Loss,Reference,22484306.175465547,93326145604.59976,82587940675.15352,30304342262.685013,16217016760.741018,8975495805.49107
Rajasthan,Medium,Regular_Loss,Upside,22484306.175465547,159956308384.06784,142748319674.31433,51302565422.802536,27061934095.77801,14758539473.673628
Tamil Nadu,Conservative,Early_Loss,Downside,1364028.2490623223,3373822844.663229,2934730218.296071,1465767290.4643111,986742412.0811481,696634022.8280874
Tamil Nadu,Conservative,Early_Loss,Reference,1364028.2490623223,5104381110.2769375,4502109992.708183,2143825235.806241,1400100076.7880952,960759098.9397732
Tamil Nadu,Conservative,Early_Loss,Upside,1364028.2490623223,7958448982.626868,7074629917.876185,3213268120.897352,2035216396.1211033,1356518648.9386146
Tamil Nadu,Conservative,Fixed_25,Downside,1433947.7805633661,3545963355.09823,3084626926.728687,1518862623.081439,969063439.561321,628965417.1216952
Tamil Nadu,Conservative,Fixed_25,Reference,1433947.7805633661,5272460626.061119,4646912233.847501,2266854885.6017947,1437763170.9310985,927872765.3356249
Tamil Nadu,Conservative,Fixed_25,Upside,1433947.7805633661,7944164147.778949,7050270258.723599,3406706714.910932,2147767173.210861,1378088215.1796186
Tamil Nadu,Conservative,Regular_Loss,Downside,1430322.6583286775,3537071430.2006583,3076877377.1012263,1403253352.9910393,866192969.9525458,551608817.3861588
Tamil Nadu,Conservative,Regular_Loss,Reference,1430322.6583286775,5476034908.748156,4833156349.221365,2155345711.7750816,1310711354.284454,822343010.0309467
Tamil Nadu,Conservative,Regular_Loss,Upside,1430322.6583286775,8644907361.710938,7688246932.152895,3353425380.6064634,2009398543.3548067,1242271462.2687685
Tamil Nadu,High,Early_Loss,Downside,3826068.7762036757,9462246809.387684,8231014317.36958,3616445665.7765455,2241327472.7217345,1463530367.1315084
Tamil Nadu,High,Early_Loss,Reference,3826068.7762036757,15095061004.598736,13337254526.331472,5601363607.385939,3367249623.332011,2134012314.7137444
Tamil Nadu,High,Early_Loss,Upside,3826068.7762036757,24791982130.536503,22087467272.116344,8881759027.347475,5181693899.896529,3187503916.76886
Tamil Nadu,High,Fixed_25,Downside,4275312.666530758,10572283211.840044,9196809500.40163,3822839598.9238205,2202442583.558867,1301755499.1884253
Tamil Nadu,High,Fixed_25,Reference,4275312.666530758,16934122101.850504,14962601474.833015,6122769784.2663555,3491565373.8193574,2043023909.9169438
