region,fiscal_year_end_year,data_type,series,record_type,capacity_gw
Maharashtra,2039,Forecast,Conservative,Annual addition,0.1933959709196671
Maharashtra,2039,Forecast,High,Annual addition,3.0753364769361724
Maharashtra,2039,Forecast,Medium,Annual addition,1.2101231723893306
Maharashtra,2040,Forecast,Conservative,Annual addition,0.1117966415238669
Maharashtra,2040,Forecast,High,Annual addition,1.8848886858778544
Maharashtra,2040,Forecast,Medium,Annual addition,0.7285198542761577
Maharashtra,2041,Forecast,Conservative,Annual addition,0.0645336509651315
Maharashtra,2041,Forecast,High,Annual addition,1.1467823474179113
Maharashtra,2041,Forecast,Medium,Annual addition,0.4366730986510845
Maharashtra,2042,Forecast,Conservative,Annual addition,0.0372206102621675
Maharashtra,2042,Forecast,High,Annual addition,0.6945890506883075
Maharashtra,2042,Forecast,Medium,Annual addition,0.2610559346863965
Maharashtra,2043,Forecast,Conservative,Annual addition,0.0214571947118002
Maharashtra,2043,Forecast,High,Annual addition,0.4195596667628365
Maharashtra,2043,Forecast,Medium,Annual addition,0.1558224639131253
Maharashtra,2044,Forecast,Conservative,Annual addition,0.0123663800204525
Maharashtra,2044,Forecast,High,Annual addition,0.2530146647849278
Maharashtra,2044,Forecast,Medium,Annual addition,0.0929223465969641
Maharashtra,2045,Forecast,Conservative,Annual addition,0.0071259567551607
Maharashtra,2045,Forecast,High,Annual addition,0.1524288022878295
Maharashtra,2045,Forecast,Medium,Annual addition,0.0553819032566593
Maharashtra,2046,Forecast,Conservative,Annual addition,0.0041058585643583
Maharashtra,2046,Forecast,High,Annual addition,0.0917759530647117
Maharashtra,2046,Forecast,Medium,Annual addition,0.0329967450684876
Maharashtra,2047,Forecast,Conservative,Annual addition,0.0023656029871403
Maharashtra,2047,Forecast,High,Annual addition,0.0552375645102642
Maharashtra,2047,Forecast,Medium,Annual addition,0.0196556874092266
Maharashtra,2048,Forecast,Conservative,Annual addition,0.0013629079499111
Maharashtra,2048,Forecast,High,Annual addition,0.0332388578573841
Maharashtra,2048,Forecast,Medium,Annual addition,0.011707228309632
Maharashtra,2049,Forecast,Conservative,Annual addition,0.0007852059446094
Maharashtra,2049,Forecast,High,Annual addition,0.0199986678550203
Maharashtra,2049,Forecast,Medium,Annual addition,0.0069725139607044
Maharashtra,2050,Forecast,Conservative,Annual addition,0.0004523725542782
Maharashtra,2050,Forecast,High,Annual addition,0.0120315613665411
Maharashtra,2050,Forecast,Medium,Annual addition,0.0041524700067725
Rajasthan,2014,Historical,Actual,Opening stock,0.75625
Rajasthan,2015,Historical,Actual,Annual addition,0.24398
Rajasthan,2016,Historical,Actual,Annual addition,0.34586
Rajasthan,2017,Historical,Actual,Annual addition,0.5619
Rajasthan,2018,Historical,Actual,Annual addition,0.3882
Rajasthan,2019,Historical,Actual,Annual addition,1.04475
Rajasthan,2020,Historical,Actual,Annual addition,1.66843
Rajasthan,2021,Historical,Actual,Annual addition,0.83736
Rajasthan,2022,Historical,Actual,Annual addition,6.71814
Rajasthan,2023,Historical,Actual,Annual addition,4.49083
Rajasthan,2024,Historical,Actual,Annual addition,4.29188
