region,capacity_scenario,lifetime_scenario,year,material,source_range,raw_midpoint_weight_percent,normalized_weight_percent,annual_material_tonnes,cumulative_material_tonnes
Gujarat,High,Fixed_25,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,9.598665048543689,62.571844660194174
Gujarat,High,Fixed_25,2045,Other,<0.20%,0.2,0.2022653721682848,63.9911003236246,417.1456310679612
Gujarat,High,Early_Loss,2045,Glass,68-72%,70.0,70.79288025889969,164371.65415251025,1348898.7336831912
Gujarat,High,Early_Loss,2045,Aluminium,12-14%,13.0,13.147249190938512,30526.164342609045,250509.76482687835
Gujarat,High,Early_Loss,2045,Polymers,8-10%,9.0,9.101941747572816,21133.49839103703,173429.83718783886
Gujarat,High,Early_Loss,2045,Silicon,3-4%,3.5,3.5396440129449838,8218.582707625512,67444.93668415956
Gujarat,High,Early_Loss,2045,Copper,2-4%,3.0,3.033980582524272,7044.49946367901,57809.94572927962
Gujarat,High,Early_Loss,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,129.1491568341152,1059.849005036793
Gujarat,High,Early_Loss,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,152.6308217130452,1252.5488241343917
Gujarat,High,Early_Loss,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,70.4449946367901,578.0994572927963
Gujarat,High,Early_Loss,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,70.4449946367901,578.0994572927963
Gujarat,High,Early_Loss,2045,Other,<0.20%,0.2,0.2022653721682848,469.6332975786007,3853.9963819519753
Gujarat,High,Regular_Loss,2045,Glass,68-72%,70.0,70.79288025889969,81373.04006778078,362260.7473924989
Gujarat,High,Regular_Loss,2045,Aluminium,12-14%,13.0,13.147249190938512,15112.136012587858,67276.99594432123
Gujarat,High,Regular_Loss,2045,Polymers,8-10%,9.0,9.101941747572816,10462.24800871467,46576.381807606995
Gujarat,High,Regular_Loss,2045,Silicon,3-4%,3.5,3.5396440129449838,4068.652003389039,18113.037369624944
Gujarat,High,Regular_Loss,2045,Copper,2-4%,3.0,3.033980582524272,3487.41600290489,15525.460602535666
Gujarat,High,Regular_Loss,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,63.935960053256316,284.63344437982056
Gujarat,High,Regular_Loss,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,75.56068006293928,336.3849797216061
Gujarat,High,Regular_Loss,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,34.8741600290489,155.25460602535668
Gujarat,High,Regular_Loss,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,34.8741600290489,155.25460602535668
Gujarat,High,Regular_Loss,2045,Other,<0.20%,0.2,0.2022653721682848,232.49440019365937,1035.0307068357113
Karnataka,Conservative,Fixed_25,2045,Glass,68-72%,70.0,70.79288025889969,47365.67556634305,351824.75728155347
Karnataka,Conservative,Fixed_25,2045,Aluminium,12-14%,13.0,13.147249190938512,8796.482605177995,65338.88349514564
